,importance
ExpRL.100,0.058617481618408955
BldVolD.50,0.05187052097953852
Lat,0.041413412308732
BldArD.50,0.04123154075251864
MainAADT.50,0.03431339984158452
ExpRL.5000,0.02880338669863054
IndT.1500,0.027181544547039357
InterD.100,0.026260755690409702
IndT.2000,0.01937242624992607
OpArT.5000,0.01754896986537979
LnDist_ShenzhenP,0.01636315939140716
OpArT.4000,0.014882893315858412
Dist_ShenzhenP,0.0147261304688397
SecRL.300,0.014454258865250837
Elevation,0.014013843137954422
ExpRL.3000,0.013541024606947796
ExpRL.200,0.01337717233263638
BldArD.200,0.012152854203115165
IndT.5000,0.011837079339090811
OpArT.1000,0.011734890670233769
IndT.3000,0.011659320338539487
OpArT.500,0.011348128183309408
Predictions-Lenwo,0.010789913370643636
SecRL.25,0.010508207050349943
ParkT.5000,0.009518680074992247
Dist_Lamma,0.008543098156243222
BldArD.100,0.008283168938768765
ExpAADT.3000,0.007884385450263987
MainRL.100,0.007792082640580662
ExpRL.50,0.007677667700893716
Dist_TollGate,0.007598994955944927
ExpRL.2000,0.007543327034129143
LnDist_TollGate,0.0075212622376410205
PrkArD.300,0.007498673347451269
GovT.1000,0.0072560708748449524
MainRL.50,0.0071548071913773775
InterD.1500,0.007140530612046128
InterD.200,0.007115752868856426
InterD.1000,0.0069640766988141155
BldArD.500,0.0068989780973337635
LnDist_Lamma,0.006767999681814002
LnDist_Port,0.006483164063864502
Dist_FerryTerm,0.0063361138824337745
LnDist_FerryTerm,0.006205298478000735
MainRL.25,0.005983286711668004
ExpAADT.2000,0.0059051380618356086
Dist_Port,0.00572462859737682
GovT.500,0.005584094561731539
TmplD.1000,0.0054493039267075275
BldVolD.1000,0.005322959210640112
SecAADT.200,0.005317160272636064
PrkArD.200,0.005042956261030324
ParkT.500,0.004995823472631756
GovT.200,0.004927456991362959
BusTD.1000,0.004875935541902026
BldVolD.100,0.004829134122957181
Long,0.004312279734462386
ParkT.200,0.0040197046216186565
SecAADT.3000,0.00395162509751607
ResT.2000,0.003946064624443317
SecRL.200,0.003804375540322904
GovT.50,0.0038035437694442643
SecRL.1000,0.003638327791126879
SecAADT.100,0.003539496210695935
SecAADT.300,0.003405742293880132
ParkT.50,0.003327867989931247
MainAADT.1000,0.003321712054518624
BldVolD.500,0.0032878364059252636
PrkArD.500,0.0032736304657991788
MainRL.1000,0.0032588702554292217
SecAADT.2000,0.0032573248022703043
SecRL.50,0.003252576035484368
Dist_ShippingLanes,0.0031789395269612806
InterD.50,0.0031757645248380994
SecAADT.1000,0.0031365311348484997
IndT.4000,0.0030708856580823293
BldVolD.200,0.0029933533627869223
ExpRL.1500,0.0029863727225177676
MiniBusD.1500,0.002952522572805475
ResT.3000,0.0028451007734085977
MixT.1500,0.002792357801286867
GovT.100,0.0027560709138385407
ParkT.1500,0.002744841877187839
GovT.300,0.0027040237589465556
CarPD.100,0.0026935357128045822
ParkT.100,0.002686231229194329
ParkT.2000,0.0026202117142959873
ResT.1500,0.0025800753039152613
LnDistUnRHighVol,0.0025635460009565104
ExpAADT.200,0.0025604369597938357
BldArD.4000,0.002469716154255521
ElvRL.4000,0.0024026411198910286
LnDist_ShippingLanes,0.0023407359461489453
Dist_MTRline,0.0023183875966850216
DistUnRHighVol,0.002317091338420705
Dist_Crematorium,0.002302467858087642
LnDist_Coast,0.0022925172220200725
InterD.500,0.00227733126591392
ElvRL.3000,0.0022684398273287052
ParkT.300,0.0021938568598116642
PopD.300,0.0021625915813452035
ParkT.1000,0.002156604918314006
InterD.300,0.0021377319146959808
BldArD.25,0.0021197162680855345
ExpAADT.100,0.002051933905599945
Dist_Coast,0.002037766181864532
ResT.5000,0.0020080057107516544
InterD.3000,0.002002783494656506
CarPD.1500,0.00199052569268942
MixT.3000,0.0018912247213418159
SecRL.2000,0.0017516692039106568
BldVolD.300,0.001729937951162454
IndT.1000,0.0017211716707443822
SecAADT.1500,0.0017198184411768797
ResT.500,0.001641482830822999
BldArD.1000,0.001616760869493917
LnDist_MTRline,0.0015910380086394502
MiniBusD.1000,0.0015495270123213971
MainAADT.5000,0.001545764575910353
PrkArD.100,0.0015384807557503287
OpArT.1500,0.0014809644172269225
Dist_CrossBrdVehTm,0.0014699829124431062
ExpAADT.500,0.0014451067382450335
IndT.300,0.0014360082125894512
SecAADT.50,0.0014266856936823583
MainAADT.100,0.0014187060650577782
SecRL.100,0.001383416825482924
PopD.500,0.0013419426266902967
IndT.500,0.0013352036466106102
ExpRL.300,0.0013256089037917847
CarPD.1000,0.0013117318079453185
SecRL.500,0.0012940312661472721
MixT.5000,0.0012891079157952392
PopD.50,0.0012797814513064215
BldVolD.2000,0.0012614802547986517
Rest.100,0.0012526036123896335
ParkT.4000,0.001244026743710577
CarPD.500,0.0012345145933777694
OpArT.3000,0.0012156615179528699
OpArT.200,0.0012081038424053888
PopD.200,0.0011959390925851592
BldVolD.5000,0.0011773443929643426
BldArD.300,0.0011596900171658882
PopD.3000,0.0011545175735178928
BldVolD.4000,0.0011513207646406203
BldArD.3000,0.001100862685695123
BldVolD.25,0.0010934304081099903
SecAADT.25,0.0010917802276571053
ComT.5000,0.0010698376612063582
OpArT.50,0.0010478570871996914
MiniBusD.500,0.0010325432010583118
ExpAADT.1000,0.0010222627207245767
ExpRL.1000,0.0010083833471805617
MainRL.200,0.0010028408309041036
SecRL.4000,0.0009909154731620323
BldArD.1500,0.0009873297096169992
LnDist_Incin,0.0009646582178850762
ResT.200,0.000939169536084593
MainRL.300,0.0008647161640580718
PrkArD.1500,0.0008556790607592397
SecRL.1500,0.0008521851623180594
MiniBusD.2000,0.000848483133084436
PopD.100,0.0008373076867748072
ParkT.25,0.000834871042300512
GovT.1500,0.0008275173212715241
OpArT.2000,0.0008229576534942616
Gas.500,0.0008133342884260455
GovT.5000,0.0008026331301123115
ExpAADT.1500,0.0007977363222732165
Dist_MTRstn,0.0007974360166417922
MainAADT.1500,0.0007908177732432049
PopD.5000,0.0007899521923973358
ExpAADT.300,0.0007605517220547147
ComT.2000,0.0007580102965667976
MainRL.500,0.0007563597013734237
PopD.2000,0.0007403510354934078
ElvRL.200,0.0007240385429739042
ExpRL.25,0.0007150472671718682
SecAADT.500,0.0006949973137426583
OpArT.300,0.0006837946132866159
BldArD.5000,0.0006681365103893273
ComT.500,0.0006661523310806105
PrkArD.2000,0.0006605040642650254
LnDist_Airport,0.0006582463640987202
PopD.4000,0.0006576036684650831
ExpRL.4000,0.0006453819488655989
SecRL.5000,0.0006423665527868976
CarPD.300,0.00064220521061622
BldVolD.3000,0.0005665056133750774
Dist_Airport,0.0005645859834559469
MixT.4000,0.000558117156505576
ResT.4000,0.0005487850900478799
ElvRL.300,0.0005453677571482285
PrkArD.5000,0.0005430920989438048
InterD.2000,0.0005343476179876993
FoodStD.300,0.0005310572968397849
CarPD.5000,0.0005225833270706252
MiniBusD.300,0.000519831426208675
SecAADT.4000,0.0005147768424635301
ResT.1000,0.0005125412137966429
MainRL.2000,0.0005014547126987994
MainAADT.3000,0.0004965221189681758
PopD.25,0.0004953264339576198
CarPD.3000,0.0004896612626352865
LnDist_PStntswoPenny,0.0004816312425460694
ExpAADT.4000,0.00047993229645676926
ExpRL.500,0.00047071929012749763
InterD.5000,0.00045171600231540385
InterD.4000,0.00044838474021487737
MainRL.3000,0.00043421576253503956
CarPD.2000,0.000423435022431876
InterD.25,0.00041711957324852545
PrkArD.1000,0.0004019184285836385
MainRL.4000,0.0003770437026276119
ExpAADT.5000,0.0003765735581860534
Dist_Incin,0.0003632348404859615
Rest.50,0.0003283945808083427
PopD.1500,0.0003237720034680924
FoodStD.200,0.0003108604957983122
ElvRL.500,0.00030993214017906265
AspRatio,0.00030697076749719107
ComT.1000,0.0002996614916928885
ElvRL.1500,0.0002993101850470232
IndT.50,0.00029198739314299256
MiniBusD.200,0.00028436183225225134
MainRL.5000,0.0002775533053441107
ResT.300,0.00027625122013906863
OpArT.100,0.00027493950188664485
ComT.200,0.00026919760670974147
ComT.300,0.0002636408990037972
SecAADT.5000,0.00023760868113875008
PrkArD.3000,0.00023427036614246915
BusTD.500,0.00023131783507835784
ParkT.3000,0.00023111163815696013
Dist_PowerStnt,0.00023052753662487156
MainAADT.2000,0.00022287394353425345
ComT.4000,0.00022188491316597198
LnDist_MTRstn,0.0002215137970856741
BldArD.2000,0.00021673829141221143
MiniBusD.3000,0.00020624324786917175
GovT.2000,0.00020408969696214012
MixT.200,0.00019081506841459348
BldVolD.1500,0.00018920210115185262
MiniBusD.50,0.0001883505841674178
ElvRL.1000,0.00018551482257541578
ElvRL.5000,0.0001787618803918369
MainAADT.25,0.00017182434880541944
BusTD.5000,0.00016208283233667023
GovT.3000,0.0001556983337192962
ComT.3000,0.00015230624241166857
SecRL.3000,0.00014817760009260832
Dist_PStntswoPenny,0.0001459803921828475
LnDist_Crematorium,0.00014243061212302217
TmplD.300,0.00011719760451983413
BusTD.1500,0.00011369882209440967
TmplD.1500,8.826229484482271e-05
BusTD.4000,8.216306608501981e-05
MainAADT.300,7.999086897044296e-05
PrkArD.4000,7.257162039520904e-05
FoodStD.2000,2.0186856651564402e-05
CarPD.4000,1.62183497619154e-05
LnDist_PowerStnt,1.4478679986124583e-05
BusTD.200,1.2131613548645625e-05
MainRL.1500,1.2091706513089489e-05
TmplD.2000,7.413965795574412e-06
PopD.1000,6.491192566242357e-06
OpArT.25,5.7357195253230325e-06
MainAADT.4000,5.477407316082028e-06
GovT.4000,3.972189673835958e-07
BusTD.300,2.642534231413696e-07
MixT.2000,3.938896763148816e-08
ElvRL.25,0.0
ElvRL.50,0.0
ElvRL.100,0.0
MiniBusD.5000,0.0
IndT.200,0.0
BusTD.100,0.0
IndT.100,0.0
BusTD.50,0.0
IndT.25,0.0
MiniBusD.25,0.0
MiniBusD.100,0.0
MiniBusD.4000,0.0
FoodStD.500,0.0
MixT.1000,0.0
MixT.500,0.0
MainAADT.500,0.0
CarPD.200,0.0
PrkArD.50,0.0
PrkArD.25,0.0
FoodStD.50,0.0
FoodStD.100,0.0
TmplD.5000,0.0
TmplD.4000,0.0
TmplD.3000,0.0
LnDist_CrossBrdVehTm,0.0
TmplD.500,0.0
TmplD.200,0.0
TmplD.100,0.0
FoodStD.5000,0.0
FoodStD.4000,0.0
FoodStD.3000,0.0
FoodStD.1500,0.0
CarPD.50,0.0
MainAADT.200,0.0
ComT.25,0.0
ResT.100,0.0
MixT.300,0.0
MixT.100,0.0
MixT.50,0.0
MixT.25,0.0
ElvRL.2000,0.0
ExpAADT.25,0.0
ExpAADT.50,0.0
ResT.50,0.0
ComT.50,0.0
ResT.25,0.0
BusTD.2000,0.0
BusTD.3000,0.0
GovT.25,0.0
FoodStD.1000,0.0
ComT.1500,0.0
ComT.100,0.0
CarPD.25,0.0
